"Name","RunTime","Rating","Votes"
"Kare wo meguru gonin no onna (1927)","3h 53min",NA,NA
"Harry Persson - Bud Gorman (1927)","1h 4min",NA,NA
"Taras Tryasylo (1927)","1h 2min",NA,NA
"Mykola Dzherya (1927)","1h 2min",NA,NA
"Sorochynskyi yarmarok (1927)","1h 7min",NA,NA
"Africa Today (1927)","1h 34min",NA,NA
"L'intrusa (1927)","1h 10min",NA,NA
"Die Ehe einer Nacht (1927)","1h 42min",NA,NA
"Pan si dong (1927)","59min",6.9,57
"Tini Belvedera (1927)","2h 25min",NA,NA
"Order na arest (1927)","1h 24min",6.5,13
